"Estimated Resident Population by Age and Sex (1991+) (Annual-Jun)","","","",""
"","","","Male","Female"
" "," ","47 Years",31270,33410
" "," ","48 Years",30340,31780
" "," ","49 Years",29860,31230
" "," ","50 Years",28330,29730
" "," ","51 Years",28160,29090
" "," ","52 Years",27420,28360
" "," ","53 Years",26270,27350
" "," ","54 Years",25610,26610
" "," ","55 Years",24710,25500
" "," ","56 Years",24450,25040
" "," ","57 Years",23970,24680
" "," ","58 Years",23900,24700
" "," ","59 Years",23610,23980
" "," ","60 Years",23690,24410
" "," ","61 Years",23700,24470
" "," ","62 Years",19890,20680
" "," ","63 Years",18890,19540
" "," ","64 Years",18080,18530
" "," ","65 Years",15980,16670
" "," ","66 Years",17580,18470
" "," ","67 Years",17200,18050
" "," ","68 Years",15840,16570
" "," ","69 Years",14020,15220
" "," ","70 Years",13480,14400
" "," ","71 Years",12600,13770
" "," ","72 Years",11800,13040
" "," ","73 Years",11360,12180
" "," ","74 Years",10700,11880
" "," ","75 Years",10190,11720
" "," ","76 Years",10070,11370
" "," ","77 Years",9950,11470
" "," ","78 Years",9120,11110
" "," ","79 Years",8580,10360
" "," ","80 Years",8010,9990
" "," ","81 Years",7210,9380
" "," ","82 Years",6460,8970
" "," ","83 Years",5830,8570
" "," ","84 Years",4950,7730
" "," ","85 Years",4250,6960
" "," ","86 Years",3640,6540
" "," ","87 Years",2980,5730
" "," ","88 Years",2480,4990
" "," ","89 Years",1720,3720
" "," ","90 Years",1320,3240
" "," ","91 Years",1150,2760
" "," ","92 Years",890,2290
" "," ","93 Years",670,1830
" "," ","94 Years",450,1330
" "," ","95 Years and Over",980,3260
2009,"As at","0 Years",33060,30830
" "," ","1 Years",32980,31260
" "," ","2 Years",31800,30220
" "," ","3 Years",30280,28910
" "," ","4 Years",29670,28190
" "," ","5 Years",29870,28410
" "," ","6 Years",29210,27770
" "," ","7 Years",28890,27990
" "," ","8 Years",30370,28950
" "," ","9 Years",31080,29550
" "," ","10 Years",30320,28550
" "," ","11 Years",30690,29270
" "," ","12 Years",30620,29370
" "," ","13 Years",31610,29630
" "," ","14 Years",31640,30170
" "," ","15 Years",31480,30230
" "," ","16 Years",32050,31080
" "," ","17 Years",32180,31430
" "," ","18 Years",32780,32180
" "," ","19 Years",31800,31800
" "," ","20 Years",31180,30550
" "," ","21 Years",30280,29990
" "," ","22 Years",29170,28500
" "," ","23 Years",28280,28380
" "," ","24 Years",27710,28310
" "," ","25 Years",27550,28170
" "," ","26 Years",27300,28030
" "," ","27 Years",26500,27710
" "," ","28 Years",26210,27540
" "," ","29 Years",25650,27550
" "," ","30 Years",25430,27910
" "," ","31 Years",25060,27380
" "," ","32 Years",25630,27780
" "," ","33 Years",25700,27960
" "," ","34 Years",26650,29420
" "," ","35 Years",27750,30800
" "," ","36 Years",28790,31930
" "," ","37 Years",30200,33430
" "," ","38 Years",30610,34000
" "," ","39 Years",30030,32960
" "," ","40 Years",30360,33300
" "," ","41 Years",30010,32740
" "," ","42 Years",29810,32460
" "," ","43 Years",30040,32140
" "," ","44 Years",30420,32440
" "," ","45 Years",31530,33510
" "," ","46 Years",31870,34280
" "," ","47 Years",31960,34030
" "," ","48 Years",31240,33320
" "," ","49 Years",30220,31700
" "," ","50 Years",29730,31150
" "," ","51 Years",28190,29610
" "," ","52 Years",27980,28970
" "," ","53 Years",27290,28270
" "," ","54 Years",26170,27230
" "," ","55 Years",25530,26580
" "," ","56 Years",24570,25500
" "," ","57 Years",24310,25000
" "," ","58 Years",23870,24570
" "," ","59 Years",23740,24630
" "," ","60 Years",23510,23930
" "," ","61 Years",23550,24340
" "," ","62 Years",23560,24370
" "," ","63 Years",19760,20580
" "," ","64 Years",18740,19490
" "," ","65 Years",17930,18440
" "," ","66 Years",15830,16570
" "," ","67 Years",17370,18370
" "," ","68 Years",16980,17860
" "," ","69 Years",15590,16380
" "," ","70 Years",13750,15000
" "," ","71 Years",13170,14190
" "," ","72 Years",12290,13540
" "," ","73 Years",11460,12780
" "," ","74 Years",11010,11930
" "," ","75 Years",10350,11580
" "," ","76 Years",9830,11450
" "," ","77 Years",9670,11050
" "," ","78 Years",9480,11130
" "," ","79 Years",8610,10710
" "," ","80 Years",8070,9950
" "," ","81 Years",7500,9540
" "," ","82 Years",6720,8930
" "," ","83 Years",5940,8440
" "," ","84 Years",5290,8040
" "," ","85 Years",4440,7160
" "," ","86 Years",3790,6380
" "," ","87 Years",3200,5900
" "," ","88 Years",2590,5140
" "," ","89 Years",2130,4400
" "," ","90 Years",1430,3190
